Date,Price,Open,High,Low,Vol.,Change %,RollingMean,RollingStd,ZScore,Signal,PrevSignal
2018-06-20,6765.4,"6,752.3","6,812.7","6,575.1",121.48K,0.19%,7066.590000000001,528.5240271389715,-0.5698700239427444,0,0.0
2018-06-21,6728.0,"6,765.8","6,797.5","6,695.1",99.29K,-0.55%,7026.45,521.8561593510898,-0.5719008861965185,0,0.0
2018-06-22,6055.7,"6,728.2","6,739.7","5,955.0",278.22K,-9.99%,6946.905000000001,543.1663779950385,-1.6407587731951654,1,0.0
2018-06-23,6167.3,"6,055.2","6,259.0","6,032.8",142.90K,1.84%,6868.805,537.0099670495557,-1.3063165360863118,0,1.0
2018-06-24,6154.6,"6,167.9","6,248.3","5,785.3",240.60K,-0.21%,6801.32,537.7518882004938,-1.2026364094492557,0,0.0
2018-06-25,6256.6,"6,155.1","6,331.2","6,101.7",210.69K,1.66%,6732.575,513.3670236011379,-0.9271631758915034,0,0.0
2018-06-26,6082.1,"6,256.9","6,267.7","6,060.0",176.66K,-2.79%,6653.63,483.6194024448268,-1.181776407461655,0,0.0
2018-06-27,6154.9,"6,081.1","6,187.3","6,025.4",133.42K,1.20%,6576.485000000001,428.1711663084444,-0.9846179125856902,0,0.0
2018-06-28,5883.5,"6,154.9","6,178.4","5,854.0",156.05K,-4.41%,6489.554999999999,378.2968334314331,-1.602062048742599,1,0.0
2018-06-29,6213.3,"5,883.2","6,284.9","5,818.5",206.96K,5.61%,6424.43,295.34761873896286,-0.7148525554445156,0,1.0
2018-06-30,6398.9,"6,213.4","6,498.5","6,204.0",189.33K,2.99%,6405.62,283.5842130563261,-0.0236966646611795,0,0.0
2018-07-01,6366.8,"6,398.5","6,445.1","6,284.7",128.51K,-0.50%,6379.665,260.0956287194891,-0.0494625767581606,0,0.0
2018-07-02,6619.5,"6,349.1","6,680.0","6,275.0",179.92K,3.97%,6382.7300000000005,262.65879227228186,0.9014356532735252,0,0.0
2018-07-03,6513.5,"6,618.6","6,676.6","6,513.5",150.19K,-1.60%,6392.79,263.6704001111535,0.4578064126618431,0,0.0
2018-07-04,6598.4,"6,513.8","6,774.5","6,442.3",143.04K,1.30%,6390.3550000000005,261.41344844203167,0.795846584175003,0,0.0
2018-07-05,6546.5,"6,598.0","6,693.6","6,466.1",166.18K,-0.79%,6397.165,263.7242145540379,0.5662544118390039,0,0.0
